Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
AT2,PE43711B-Z,1,PE43711B-Z,
"C1, C14, C3",0805,3,100 nF,
"C11, C12, C21, C22, C23, C26",0805,6,10 nF,
"C15, C16, C2, C4, C5, C6",0805,6,1 nF,
"C20, C46",0402,2,1.5 pF,
"C27, C28, C29, C32, C33, C39, C42, C8, C9",0805,9,100 pF,
"C30, C45, C60, C66",0603,4,2.2 uF,
"C31, C61",0402,2,100 nF,
"C40, C64",0402,2,1 nF,
"C41, C65",0805,2,10 uF,
C43,0805,1,1 pF,
C47,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,100 uF,
"IC1, IC12, IC2",SOT95P280X145-5N,3,SN74LV1T04DBVR,
"IC10, IC11, IC4, IC8, IC9",SOP65P490X106-9N,5,PE4251MLI-Z,
"IC13, IC14",PHA13HLN,2,PHA-13HLN+,
IC25,SOIC127P600X100-9N,1,BD33GA5WEFJ-E2,
IC3,ADG904BRUZ,1,ADG904BRUZ-REEL7,
IC6,SOIC127P600X100-9N,1,BD50GC0VEFJ-ME2,
IC7,SOIC127P600X100-9N,1,BD80GC0VEFJ-ME2,
"L1, L3",0603,2,0603CS-5N1XJLW,
"L15, L2",1210,2,LQH32DZ150K53L,
"R1, R13, R14, R15, R6, R7",0805,6,100Ω,
"R10, R3, R4, R9",0805,4,10kΩ,
"R16, R17",0402,2,1.5 k,
"R5, R8",0805,2,1kΩ,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,SN74LV4052ADR,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,Si5351A-B-GM,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_nobottomgnd,1,LM4562MAX/NOPB,
Y1,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm_HandSoldering,1,ABM8G-25.000MHZ-B4Y-T,
